"year","y","age","educ","female","yl1","yl2","yp1","dy","dy_pre","dy_post","va","va_previous","dva","year_previous"
2004,2.008861,32,12,1,2.071089,2.060769,2.047703,-0.0622280000000002,0.0103200000000001,0.0388419999999998,4.094103,4.053793,0.0403099999999998,2003
2006,2.35638,41,12,1,2.208116,2.12314,2.377059,0.148264,0.0849760000000002,0.0206789999999999,4.368833,2.836474,1.532359,2005
2006,1.798762,58,4,0,1.900939,1.793493,1.996806,-0.102177,0.107446,0.198044,3.812237,3.261107,0.55113,2005
2006,1.425614,56,12,0,1.348117,1.371076,1.959036,0.0774969999999999,-0.022959,0.533422,2.809973,2.968411,-0.158438,2005
2006,1.012132,58,9,0,1.647352,1.896527,1.220416,-0.63522,-0.249175,0.208284,2.103873,2.978083,-0.87421,2005
2007,1.377538,58,4,0,1.245116,1.244397,1.415929,0.132422,0.000718999999999914,0.0383910000000001,2.79922,2.753619,0.045601,2006
2004,0.9849412,59,4,0,0.9760494,0.9735894,1.254308,0.00889180000000001,0.00245999999999991,0.2693668,2.349295,2.165855,0.18344,2003
2004,2.376271,56,4,0,2.248708,2.25537,2.232162,0.127563,-0.00666199999999995,-0.144109,3.719833,3.66004,0.059793,2003
2004,1.352681,53,4,1,1.132833,1.139534,1.416013,0.219848,-0.00670100000000007,0.0633319999999999,2.541447,1.716342,0.825105,2003
2007,1.666703,57,6,0,1.569863,1.600865,1.746464,0.09684,-0.031002,0.079761,2.766816,3.154583,-0.387767,2006
2006,1.484789,54,4,0,1.422099,1.381659,1.345886,0.0626899999999999,0.04044,-0.138903,2.738224,2.422975,0.315249,2005
2007,1.91699,56,4,0,1.975373,1.848734,1.804733,-0.0583830000000001,0.126639,-0.112257,2.64463,2.835696,-0.191066,2006
2006,1.062794,54,4,0,1.545147,1.567847,1.078917,-0.482353,-0.0226999999999999,0.0161229999999999,3.190299,2.642821,0.547478,2005
2004,2.177271,59,4,0,1.949479,1.588936,2.18203,0.227792,0.360543,0.00475899999999996,3.146049,2.007943,1.138106,2003
2008,1.714158,59,4,0,2.178861,2.202229,1.591945,-0.464703,-0.0233680000000001,-0.122213,2.975052,3.245969,-0.270917,2007
2004,1.653981,50,4,0,2.180704,2.026798,1.778262,-0.526723,0.153906,0.124281,3.576836,3.215188,0.361648,2003
2007,1.415389,54,4,0,1.306897,1.303306,1.433122,0.108492,0.0035909999999999,0.017733,2.738224,2.550219,0.188005,2006
2004,1.343111,51,4,0,1.38225,1.390509,1.553126,-0.039139,-0.00825900000000002,0.210015,3.224166,2.957828,0.266338,2003
2007,1.151565,54,4,0,1.176265,1.207559,1.125965,-0.0246999999999999,-0.0312940000000002,-0.0255999999999998,2.981201,2.345882,0.635319,2006
2007,1.351992,58,4,1,1.249838,1.256196,1.348967,0.102154,-0.00635800000000009,-0.00302500000000006,2.527768,2.708885,-0.181117,2006
2008,1.536899,58,4,0,0.863245,0.8422518,1.544899,0.673654,0.0209932,0.00800000000000001,2.130039,2.734337,-0.604298,2007
2008,1.961575,55,6,0,1.928212,1.952912,1.969575,0.033363,-0.0246999999999999,0.00800000000000001,3.057908,2.490935,0.566973,2007
2006,0.8422518,52,4,0,1.786941,1.103721,0.863245,-0.9446892,0.68322,0.0209932,2.747667,2.431182,0.316485,2005
2007,1.455982,53,4,0,1.445787,1.458067,1.445359,0.0101950000000002,-0.0122800000000001,-0.010623,3.057908,2.490935,0.566973,2006
2007,1.493672,54,4,0,1.447206,1.474168,1.524569,0.0464660000000001,-0.0269619999999999,0.030897,2.991775,2.22668,0.765095,2006
2004,1.868935,53,4,0,1.852039,1.893685,1.872337,0.016896,-0.0416460000000001,0.00340199999999991,3.719833,3.66004,0.059793,2003
2008,0.9712655,59,9,1,0.9413627,0.8422518,1.034074,0.0299028,0.0991109,0.0628084999999999,2.526208,2.036214,0.489994,2007
2008,1.676041,56,12,0,1.66648,1.732241,1.7367,0.00956099999999993,-0.065761,0.060659,2.97615,2.738719,0.237431,2007
2004,1.962785,49,9,0,1.964993,1.950778,1.940085,-0.00220799999999999,0.0142150000000001,-0.0226999999999999,3.014643,2.736924,0.277719,2003
2004,2.077757,48,4,0,1.963156,2.152506,2.209901,0.114601,-0.18935,0.132144,3.719833,3.66004,0.059793,2003
2007,1.537958,56,4,0,0.9959783,1.169019,1.612625,0.5419797,-0.1730407,0.074667,2.73249,2.749192,-0.016702,2006
2007,1.13125,55,9,1,1.736167,1.69953,1.179068,-0.604917,0.036637,0.0478179999999999,4.053785,3.668809,0.384976,2006
2008,1.548118,59,6,1,1.477693,1.509082,1.70619,0.0704250000000002,-0.0313890000000001,0.158072,2.61142,2.794352,-0.182932,2007
2005,1.77607,53,4,0,1.788188,1.801473,1.74547,-0.0121180000000001,-0.013285,-0.0306,3.140224,3.231844,-0.0916200000000003,2004
2008,1.986268,54,4,0,2.07623,2.018306,1.994268,-0.0899619999999999,0.0579239999999999,0.00800000000000001,2.670836,3.900987,-1.230151,2007
2007,0.9666805,53,9,0,0.9666507,0.9622412,0.9410805,2.98000000000798e-05,0.00440949999999996,-0.0256000000000001,2.363246,2.284862,0.0783840000000002,2006
2004,2.306095,47,9,0,2.317522,2.350022,2.283395,-0.0114269999999999,-0.0325000000000002,-0.0226999999999999,2.626523,2.387051,0.239472,2003
2005,1.553126,52,4,0,1.388574,1.38225,1.472269,0.164552,0.006324,-0.080857,2.957828,3.224166,-0.266338,2004
2004,0.9721519,59,4,0,0.9760494,0.9735894,0.9903461,-0.0038975,0.00245999999999991,0.0181942,2.299561,2.161537,0.138024,2003
2005,2.276866,53,9,0,1.854852,1.586082,2.398764,0.422014,0.26877,0.121898,3.590158,2.181208,1.40895,2004
2004,0.9219661,51,4,0,0.8905315,0.8564416,0.8750618,0.0314346,0.0340899,-0.0469043,2.009521,2.4916,-0.482079,2003
2007,1.442213,55,9,0,1.277044,1.377357,1.448234,0.165169,-0.100313,0.00602100000000005,3.09458,3.345048,-0.250468,2006
2008,1.52332,51,4,0,1.471111,1.550535,2.107231,0.0522089999999999,-0.0794239999999999,0.583911,2.921635,3.277941,-0.356306,2007
2008,1.509475,51,12,1,1.488374,1.506411,1.565763,0.0211009999999998,-0.0180369999999999,0.0562880000000001,3.045429,2.560925,0.484504,2007
2008,0.9686539,54,4,0,0.9891534,1.027584,0.9916402,-0.0204995,-0.0384306000000001,0.0229863,1.942261,1.819282,0.122979,2007
2004,1.37557,48,4,1,1.324717,1.327338,1.381139,0.050853,-0.00262099999999998,0.00556899999999994,2.527768,3.283432,-0.755664,2003
2004,1.928181,48,4,1,1.454636,1.518186,1.905481,0.473545,-0.06355,-0.0226999999999999,3.249771,2.615235,0.634536,2003
2004,1.504756,49,6,1,1.259982,1.314596,1.482056,0.244774,-0.0546140000000002,-0.0226999999999999,3.111154,2.98859,0.122564,2003
2008,1.932605,53,4,0,1.647634,1.662089,1.998194,0.284971,-0.0144549999999999,0.0655890000000001,3.065793,3.028962,0.0368310000000003,2007
2005,1.307644,52,4,0,1.094795,1.136505,1.239104,0.212849,-0.0417100000000001,-0.06854,2.752679,2.532813,0.219866,2004
2005,1.309461,51,4,0,1.295188,1.240789,1.318012,0.014273,0.0543990000000001,0.00855099999999998,2.707446,2.279383,0.428063,2004
2008,2.0943,54,9,1,1.992804,2.001336,2.099133,0.101496,-0.00853199999999976,0.00483300000000009,2.708885,2.634495,0.0743900000000002,2007
2007,1.310948,59,4,1,1.363232,1.530538,1.405075,-0.052284,-0.167306,0.0941270000000001,3.704776,3.520177,0.184599,2006
2006,1.509082,52,6,0,1.566129,1.588829,1.517171,-0.0570470000000001,-0.0226999999999999,0.00808900000000001,2.964311,1.931851,1.03246,2005
2006,2.143177,49,12,0,2.17203,2.187876,2.118477,-0.0288529999999998,-0.0158460000000002,-0.0247000000000002,2.757666,2.238367,0.519299,2005
2007,2.837119,52,6,0,2.839654,2.916464,2.74953,-0.00253499999999995,-0.07681,-0.0875889999999999,2.485095,3.381522,-0.896427,2006
2005,2.180271,54,12,0,2.182366,2.237248,2.150935,-0.00209500000000018,-0.0548820000000001,-0.0293359999999998,3.397619,3.302429,0.0951900000000001,2004
2008,1.015921,59,6,1,1.137185,1.161885,1.023921,-0.121264,-0.0247000000000002,0.00800000000000001,2.832028,2.850627,-0.0185989999999996,2007
2007,1.483456,55,4,0,1.152747,1.232137,1.476441,0.330709,-0.0793900000000001,-0.00701500000000022,3.164798,2.83042,0.334378,2006
2007,0.8873708,53,4,1,0.9196936,0.9502937,0.8931478,-0.0323228,-0.0306001,0.00577700000000003,2.305545,2.439037,-0.133492,2006
2007,2.30842,54,9,0,2.36071,2.290082,2.152766,-0.0522900000000002,0.0706280000000001,-0.155654,2.64463,2.835696,-0.191066,2006
2008,1.308479,52,4,1,1.170937,1.089518,1.164384,0.137542,0.0814189999999999,-0.144095,3.125009,2.119984,1.005025,2007
2006,1.350477,55,4,0,1.512379,1.339238,1.543908,-0.161902,0.173141,0.193431,2.922319,2.942564,-0.0202450000000001,2005
2004,2.047274,48,4,0,2.25989,2.153218,2.134113,-0.212616,0.106672,0.0868390000000003,3.719833,3.66004,0.059793,2003
2005,1.205551,50,6,0,1.476196,1.442981,0.9222232,-0.270645,0.033215,-0.2833278,2.235409,3.122273,-0.886864,2004
2004,2.295518,47,9,0,1.936438,1.928563,2.272819,0.35908,0.00787500000000008,-0.0226989999999998,2.693728,2.70887,-0.015142,2003
2007,1.042253,56,6,1,1.071069,1.077114,1.043266,-0.028816,-0.00604499999999986,0.00101299999999993,3.65206,2.485095,1.166965,2006
2004,0.8824797,58,4,1,0.9061797,0.8956623,0.8857551,-0.0237000000000001,0.0105174,0.00327540000000004,2.55392,2.683949,-0.130029,2003
2007,1.772064,52,4,0,1.234645,1.120402,1.746464,0.537419,0.114243,-0.0256000000000001,2.481946,4.017036,-1.53509,2006
2007,1.863731,54,9,0,1.176004,1.258722,1.84359,0.687727,-0.0827179999999998,-0.020141,3.245953,2.85954,0.386413,2006
2008,1.804733,51,6,0,1.78443,1.32676,1.85145,0.020303,0.45767,0.0467170000000001,2.772889,2.634465,0.138424,2007
2008,1.945315,52,6,0,1.45461,1.47931,1.945084,0.490705,-0.0246999999999999,-0.00023099999999987,2.244619,3.470408,-1.225789,2007
2006,1.518372,54,6,0,1.574907,1.574929,1.517171,-0.056535,-2.19999999999665e-05,-0.00120100000000001,4.134363,3.428881,0.705481999999999,2005
2005,1.033291,49,4,0,1.317536,1.204404,1.100524,-0.284245,0.113132,0.0672330000000001,2.257813,3.653408,-1.395595,2004
2008,2.717621,56,6,0,2.700649,2.691447,2.778352,0.016972,0.00920199999999971,0.0607310000000001,3.632869,3.492554,0.140315,2007
2004,1.417818,49,4,1,1.041515,1.049821,1.336096,0.376303,-0.00830599999999992,-0.0817220000000001,1.951644,1.716342,0.235302,2003
2008,2.746728,54,4,0,2.290262,1.855033,2.76388,0.456466,0.435229,0.0171519999999998,2.534911,2.527768,0.00714300000000012,2007
2008,1.348967,54,6,0,1.310028,1.334728,1.356967,0.0389390000000001,-0.0246999999999999,0.00800000000000001,2.7181,3.4151,-0.697,2007
2005,1.50578,49,6,0,2.304319,2.433379,1.47518,-0.798539,-0.12906,-0.0306,3.569548,1.787326,1.782222,2004
2008,2.016491,53,6,0,2.351276,2.113033,2.030687,-0.334785,0.238243,0.0141960000000001,2.273009,3.15558,-0.882571,2007
2008,2.361109,51,6,0,2.28728,2.287183,2.26968,0.0738289999999999,9.69999999997917e-05,-0.0914289999999998,4.493372,2.450998,2.042374,2007
2005,2.462465,49,12,0,2.840665,2.807997,2.421626,-0.3782,0.0326680000000001,-0.0408390000000001,4.145792,3.830547,0.315245,2004
2004,2.002935,45,6,0,1.045942,1.039929,1.957893,0.956993,0.00601299999999982,-0.0450419999999998,4.435591,3.125958,1.309633,2003
2008,1.09477,54,6,1,1.218678,1.161885,1.104278,-0.123908,0.0567929999999999,0.00950800000000007,2.832028,2.850627,-0.0185989999999996,2007
2007,1.393901,51,4,0,1.260377,1.468132,1.389594,0.133524,-0.207755,-0.00430700000000006,3.543581,2.473184,1.070397,2006
2005,1.021496,51,4,0,1.049331,1.041354,1.020235,-0.0278350000000001,0.00797700000000012,-0.00126099999999996,2.576318,2.296068,0.28025,2004
2008,2.882372,55,16,0,2.881946,2.882966,2.914171,0.000426000000000037,-0.00102000000000002,0.0317989999999999,2.376745,3.697134,-1.320389,2007
2005,1.916107,48,6,0,2.642151,1.685022,1.83802,-0.726044,0.957129,-0.078087,3.95243,3.549418,0.403012,2004
2007,1.102633,55,4,1,1.101614,1.253935,1.102107,0.00101899999999988,-0.152321,-0.000526000000000026,2.527768,3.65206,-1.124292,2006
2006,0.998256,53,4,0,1.860895,1.861795,1.006346,-0.862639,-0.000900000000000123,0.00808999999999993,2.279695,3.366085,-1.08639,2005
2008,1.148627,53,4,0,1.290797,1.309003,1.337504,-0.14217,-0.0182059999999999,0.188877,3.497183,3.114261,0.382922,2007
2008,1.415929,50,4,0,1.392266,1.416966,1.450922,0.023663,-0.0246999999999999,0.0349930000000001,2.79922,2.770007,0.0292129999999999,2007
2007,1.484382,51,9,0,0.8715794,0.9238519,1.458782,0.6128026,-0.0522724999999999,-0.0256000000000001,2.870166,2.714538,0.155628,2006
2007,1.543908,49,4,0,1.546377,1.547689,1.562541,-0.00246899999999983,-0.0013120000000002,0.0186329999999999,2.721921,2.535965,0.185956,2006
2007,1.30844,59,4,1,0.9481316,1.292962,1.205179,0.3603084,-0.3448304,-0.103261,2.791456,2.057525,0.733931,2006
2005,1.13098,55,4,1,1.244524,1.259261,1.124912,-0.113544,-0.014737,-0.00606800000000018,2.485095,3.65206,-1.166965,2004
2007,1.056671,52,9,0,1.16377,1.07976,1.055314,-0.107099,0.0840099999999999,-0.00135699999999983,2.193337,2.772889,-0.579552,2006
2005,1.486281,51,4,1,1.532344,1.44685,1.462689,-0.046063,0.085494,-0.0235920000000001,3.453492,2.886628,0.566864,2004
2004,1.143796,46,4,1,0.9608672,0.9719714,1.13143,0.1829288,-0.0111042,-0.0123660000000001,1.951644,1.716342,0.235302,2003
2008,1.504392,57,4,0,1.821439,1.455028,1.538792,-0.317047,0.366411,0.0344,2.534911,2.485095,0.0498160000000003,2007
2007,2.128571,54,4,0,2.056046,2.048489,1.97705,0.0725250000000002,0.00755699999999981,-0.151521,3.09458,3.098244,-0.00366400000000011,2006
2007,1.287555,59,4,1,1.315497,1.141232,1.173763,-0.0279419999999999,0.174265,-0.113792,2.791456,2.057525,0.733931,2006
2008,1.706683,57,4,1,1.462817,1.685832,1.735281,0.243866,-0.223015,0.0285980000000001,2.467249,2.404812,0.0624369999999996,2007
2007,1.102633,55,4,1,1.152407,1.158987,1.102107,-0.049774,-0.00658000000000003,-0.000526000000000026,2.527768,3.65206,-1.124292,2006
2006,1.813621,54,6,1,1.157503,1.156816,1.814165,0.656118,0.000686999999999882,0.0005440000000001,3.723171,3.428881,0.29429,2005
2006,1.959733,53,4,0,2.5417,2.546999,1.935032,-0.581967,-0.00529899999999994,-0.0247009999999999,2.187006,3.24318,-1.056174,2005
2005,0.911073,47,9,1,0.8963779,0.875742,0.880473,0.0146951000000001,0.0206358999999999,-0.0306000000000001,2.700143,2.877487,-0.177344,2004
2005,1.06057,55,4,0,1.063485,0.8659058,0.768237,-0.002915,0.1975792,-0.292333,2.492358,2.985403,-0.493045,2004
2004,1.285461,47,4,0,1.180616,1.213117,1.202562,0.104845,-0.0325009999999999,-0.0828990000000001,2.47997,2.501244,-0.021274,2003
2004,1.096742,55,6,1,1.091785,1.094333,1.101652,0.0049570000000001,-0.00254799999999999,0.00490999999999997,2.529357,2.527768,0.00158900000000006,2003
2004,1.748504,46,4,0,1.545982,1.578482,1.726618,0.202522,-0.0325,-0.0218860000000001,3.565887,3.646066,-0.0801789999999998,2003
2007,2.063987,50,4,1,2.814517,2.890447,2.062004,-0.75053,-0.0759300000000001,-0.00198300000000007,3.20806,3.320978,-0.112918,2006
2006,1.782139,49,9,0,1.134217,1.22355,1.531728,0.647922,-0.0893329999999999,-0.250411,4.238799,3.137408,1.101391,2005
2006,1.455681,48,4,0,1.559079,1.553408,1.430981,-0.103398,0.0056710000000002,-0.0246999999999999,2.79922,3.66004,-0.86082,2005
2007,1.797835,59,6,0,1.721841,1.737581,1.769069,0.0759940000000001,-0.0157400000000001,-0.0287660000000001,2.860624,2.813731,0.0468929999999999,2006
2008,1.217439,54,4,0,1.618769,1.6236,1.59781,-0.40133,-0.00483100000000003,0.380371,2.537367,3.238623,-0.701256,2007
2008,0.9712655,54,12,1,1.038095,1.062794,1.239064,-0.0668295,-0.024699,0.2677985,1.822551,2.542741,-0.72019,2007
2007,1.078917,49,6,0,1.132944,1.212334,1.082875,-0.054027,-0.0793900000000001,0.00395800000000013,3.742461,2.711204,1.031257,2006
2008,1.053316,52,4,0,1.488298,1.559518,1.061316,-0.434982,-0.0712200000000001,0.00800000000000001,1.925087,2.48489,-0.559803,2007
2007,1.754871,50,4,0,1.700253,1.711549,1.775791,0.0546180000000001,-0.011296,0.0209199999999998,2.956365,2.934634,0.0217309999999999,2006
2007,2.211346,49,4,0,2.128113,2.21496,2.082741,0.0832329999999999,-0.0868470000000001,-0.128605,3.09458,3.345048,-0.250468,2006
2006,1.509082,48,12,0,2.408198,2.268215,1.484382,-0.899116,0.139983,-0.0246999999999999,1.775529,3.423214,-1.647685,2005
2005,1.075368,57,4,0,1.063059,1.240789,1.076374,0.0123090000000001,-0.17773,0.00100599999999984,2.279383,2.339749,-0.0603659999999997,2004
2008,1.084914,50,6,1,1.204668,1.161885,1.092914,-0.119754,0.042783,0.00800000000000001,2.832028,2.850627,-0.0185989999999996,2007
2005,2.007274,46,4,0,2.154048,2.127537,2.01188,-0.146774,0.0265110000000002,0.00460600000000033,3.069982,2.747105,0.322877,2004
2007,1.570948,49,4,0,1.881105,1.907099,1.389789,-0.310157,-0.0259940000000001,-0.181159,2.832323,2.956864,-0.124541,2006
2008,1.350454,53,4,1,1.282673,1.249838,1.379043,0.0677810000000001,0.0328349999999999,0.028589,2.529357,2.485095,0.0442620000000002,2007
2006,3.241945,59,12,0,2.899258,2.920264,3.220901,0.342687,-0.0210059999999999,-0.0210439999999998,4.36024,2.990354,1.369886,2005
2004,1.583229,47,12,0,1.490118,1.484621,1.488955,0.0931109999999999,0.00549700000000009,-0.094274,2.739861,2.550219,0.189642,2003
2006,1.041741,53,4,1,1.077114,1.072179,1.042253,-0.0353729999999999,0.00493499999999991,0.000512000000000068,2.634495,2.485095,0.1494,2005
2008,1.975298,50,12,1,2.046852,2.104382,2.079442,-0.0715539999999999,-0.0575300000000003,0.104144,3.048144,2.696403,0.351741,2007
2007,1.199363,49,4,1,1.435794,1.249775,1.312599,-0.236431,0.186019,0.113236,2.467249,3.65206,-1.184811,2006
2007,2.672225,49,9,0,2.554762,2.585362,2.667145,0.117463,-0.0305999999999997,-0.00507999999999997,3.421539,3.914655,-0.493116,2006
2008,1.316782,51,4,1,1.222151,1.391798,1.347187,0.0946309999999999,-0.169647,0.030405,2.708885,3.65206,-0.943175,2007
2006,1.402238,48,9,0,1.073072,1.095772,1.377538,0.329166,-0.0226999999999999,-0.0247000000000002,2.841238,2.49634,0.344898,2005
2005,2.167979,50,4,1,2.207183,2.195754,2.209311,-0.0392040000000002,0.0114290000000001,0.0413320000000001,3.098244,3.09458,0.00366400000000011,2004
2004,1.174501,48,4,1,1.170506,1.174313,0.8054831,0.00399499999999997,-0.00380699999999989,-0.3690179,2.529357,2.527768,0.00158900000000006,2003
2004,1.210457,50,4,1,0.8659058,0.8507397,1.205513,0.3445512,0.0151661,-0.00494399999999984,3.000012,3.088838,-0.0888260000000001,2003
2007,1.391316,58,4,0,1.204366,1.287624,1.317218,0.18695,-0.0832580000000001,-0.074098,3.158565,3.492554,-0.333989,2006
2008,1.873096,55,9,1,1.764396,1.750945,1.939282,0.1087,0.0134510000000001,0.0661859999999999,2.527768,3.159671,-0.631903,2007
2004,1.628344,48,4,1,1.631692,1.473078,1.600777,-0.00334799999999991,0.158614,-0.0275670000000001,2.977781,2.28951,0.688271,2003
2007,2.171502,49,12,0,2.532674,2.542854,2.099018,-0.361172,-0.0101800000000001,-0.0724839999999998,3.598965,2.460903,1.138062,2006
2007,1.13894,47,4,1,0.9255509,0.9580284,1.51976,0.2133891,-0.0324775,0.38082,3.098928,3.244613,-0.145685,2006
2008,1.560134,50,6,1,1.540132,1.528884,1.624355,0.0200019999999999,0.0112480000000001,0.0642210000000001,3.345141,2.939637,0.405504,2007
2008,1.650863,49,4,1,1.59174,1.614042,1.685114,0.059123,-0.022302,0.034251,2.467249,2.404812,0.0624369999999996,2007
2007,1.136832,52,4,1,1.130942,1.167358,1.12591,0.00589000000000017,-0.036416,-0.0109220000000001,1.923639,3.16434,-1.240701,2006
2008,1.263577,51,4,1,1.267793,1.287334,1.392229,-0.004216,-0.019541,0.128652,2.389087,2.380483,0.00860400000000006,2007
2005,1.452234,58,4,0,1.326006,1.490118,1.455681,0.126228,-0.164112,0.00344699999999998,2.79922,2.550219,0.249001,2004
2008,2.999227,53,12,0,2.425364,2.465354,3.007227,0.573863,-0.03999,0.00800000000000001,3.304308,3.605999,-0.301691,2007
2007,1.828691,51,9,0,1.544449,1.373863,1.48081,0.284242,0.170586,-0.347881,2.739861,2.695668,0.0441929999999999,2006
2005,1.045361,56,4,0,1.369023,1.375531,1.054426,-0.323662,-0.00650799999999996,0.0090650000000001,2.432477,2.508437,-0.0759599999999998,2004
2008,1.975298,49,9,1,2.046852,2.104382,2.079442,-0.0715539999999999,-0.0575300000000003,0.104144,3.048144,2.696403,0.351741,2007
2008,1.001267,54,4,1,1.003225,1.042177,1.102877,-0.00195800000000013,-0.0389519999999999,0.10161,1.795014,1.800558,-0.00554399999999999,2007
2008,3.14518,59,12,0,3.153588,3.224808,3.182508,-0.00840800000000019,-0.0712199999999998,0.037328,4.070286,3.427763,0.642523,2007
2007,1.553908,48,4,1,1.278861,1.184434,1.699372,0.275047,0.094427,0.145464,1.901733,1.787729,0.114004,2006
2006,1.243379,56,4,0,1.3603,1.383,1.261238,-0.116921,-0.0226999999999999,0.0178590000000001,2.119246,2.765722,-0.646476,2005
2008,1.461676,49,4,1,1.19581,1.184274,1.58534,0.265866,0.011536,0.123664,3.415519,1.821721,1.593798,2007
2006,2.944166,47,4,0,3.544459,2.728187,2.943927,-0.600293,0.816272,-0.0002390000000001,3.769796,3.497416,0.27238,2005
2008,1.043266,55,4,1,1.102633,1.101614,1.07719,-0.0593669999999999,0.00101899999999988,0.0339240000000001,3.65206,2.527768,1.124292,2007
2006,2.096868,57,9,0,2.24953,2.212763,2.072168,-0.152662,0.0367670000000002,-0.0247000000000002,2.530286,4.383115,-1.852829,2005
2007,1.618912,52,4,0,1.537993,1.575049,1.635339,0.080919,-0.037056,0.0164270000000002,3.157297,3.247982,-0.0906850000000001,2006
2008,2.592332,52,4,0,1.817037,2.444913,2.749566,0.775295,-0.627876,0.157234,3.908537,3.710298,0.198239,2007
2008,2.439611,49,16,0,2.367813,2.338769,2.447611,0.0717980000000003,0.0290439999999998,0.00800000000000001,3.153975,3.49034,-0.336365,2007
2008,1.504392,49,4,0,1.483465,1.475045,1.512392,0.0209269999999999,0.00842000000000009,0.00800000000000001,2.863344,3.201177,-0.337833,2007
2005,1.395637,46,6,0,1.312637,1.314535,1.204334,0.083,-0.00189799999999996,-0.191303,3.216936,3.058276,0.15866,2004
2007,1.490782,49,12,0,1.408508,1.306387,1.438919,0.082274,0.102121,-0.051863,3.09458,3.345048,-0.250468,2006
2004,2.43785,44,9,0,1.467226,1.518393,2.44794,0.970624,-0.0511670000000002,0.0100899999999999,3.482899,3.589267,-0.106368,2003
2007,2.465211,57,6,0,1.83827,1.908145,2.439611,0.626941,-0.0698749999999999,-0.0255999999999998,3.466964,3.353813,0.113151,2006
2007,3.120137,48,6,0,2.439079,2.469679,3.358897,0.681058,-0.0306000000000002,0.23876,3.888827,3.808299,0.0805280000000002,2006
2007,2.631965,47,12,0,2.668618,2.726236,2.73402,-0.0366529999999998,-0.0576180000000002,0.102055,3.964033,3.568299,0.395734,2006
2007,1.696182,47,6,0,1.737707,1.769037,1.729271,-0.0415249999999998,-0.0313300000000001,0.0330889999999999,3.707501,3.122196,0.585305,2006
2007,0.937353,47,4,1,1.459567,1.474719,1.312599,-0.522214,-0.0151519999999998,0.375246,1.716342,1.951644,-0.235302,2006
2008,2.311487,49,9,0,2.434236,2.458936,2.319487,-0.122749,-0.0247000000000002,0.00800000000000001,2.832028,2.850627,-0.0185989999999996,2007
2005,1.234096,59,4,0,1.541047,1.504148,1.164443,-0.306951,0.036899,-0.0696530000000002,2.39419,2.578578,-0.184388,2004
2006,2.094426,46,12,1,1.866584,1.94749,2.069726,0.227842,-0.0809059999999999,-0.0246999999999997,3.280116,2.88103,0.399086,2005
2008,1.139403,49,6,0,0.9234316,1.046883,1.069285,0.2159714,-0.1234514,-0.0701179999999999,2.400457,2.322768,0.0776889999999999,2007
2007,1.512375,52,4,1,1.462248,1.44213,1.496077,0.050127,0.0201180000000001,-0.0162979999999999,3.09458,3.098244,-0.00366400000000011,2006
2007,1.401,56,9,0,1.254712,1.25112,1.41796,0.146288,0.00359200000000004,0.0169600000000001,2.738224,2.707088,0.0311360000000001,2006
