famid,age,daded_a,t,lw,married,omarried,educ,oeduc,female,ofemale,exp,oexp
79,56.47911,9,1,2.727979,0,1,13,12,1,1,37.47911,38.47911
79,56.47911,9,2,2.41053,1,0,12,13,1,1,38.47911,37.47911
80,61.47021,15,1,2.488373,1,1,14,13,1,1,41.47021,42.47021
80,61.47021,15,2,2.544062,1,1,13,14,1,1,42.47021,41.47021
81,42.12183,16,1,3.023139,1,1,18,18,1,1,18.12183,18.12183
81,42.12183,16,2,3.411562,1,1,18,18,1,1,18.12183,18.12183
82,33.74127,8,1,2.921356,1,1,16,14,0,0,11.74127,13.74127
82,33.74127,8,2,2.514461,1,1,14,16,0,0,13.74127,11.74127
84,21.80423,15,1,1.808355,0,0,13,13,0,0,2.80423,2.80423
84,21.80423,15,2,1.668593,0,0,13,13,0,0,2.80423,2.80423
85,39.35112,10,1,2.45705,1,0,12,12,1,1,21.35112,21.35112
85,39.35112,10,2,2.45705,0,1,12,12,1,1,21.35112,21.35112
87,24.61053,14,1,2.005065,0,0,18,18,0,0,0.61053,0.61053
87,24.61053,14,2,2.005065,0,0,18,18,0,0,0.61053,0.61053
89,31.4579,12,1,3.460352,1,1,16,14,1,1,9.4579,11.4579
89,31.4579,12,2,3.106181,1,1,14,16,1,1,11.4579,9.4579
90,30.65297,12,1,2.005065,1,0,13,14,1,1,11.65297,10.65297
90,30.65297,12,2,2.106848,0,1,14,13,1,1,10.65297,11.65297
91,31.8987,18,1,2.36174,0,0,15,15,1,1,10.8987,10.8987
91,31.8987,18,2,2.523008,0,0,15,15,1,1,10.8987,10.8987
92,37.72211,16,1,1.668593,0,1,16,16,1,1,15.72211,15.72211
92,37.72211,16,2,0.9754459,1,0,16,16,1,1,15.72211,15.72211
94,33.59068,7,1,2.993189,0,1,16,15,1,1,11.59068,12.59068
94,33.59068,7,2,2.479523,1,0,15,16,1,1,12.59068,11.59068
95,32.29021,12,1,3.540395,0,0,16,16,1,1,10.29021,10.29021
95,32.29021,12,2,3.373341,0,0,16,16,1,1,10.29021,10.29021
96,33.46201,12,1,1.811688,0,0,14,12,0,0,13.46201,15.46201
96,33.46201,12,2,1.126996,0,0,12,14,0,0,15.46201,13.46201
100,30.81998,12,1,2.767205,0,0,16,15,1,1,8.81998,9.81998
100,30.81998,12,2,2.767205,0,0,15,16,1,1,9.81998,8.81998
102,32.3477,14,1,1.901215,1,1,12,12,1,1,14.3477,14.3477
102,32.3477,14,2,1.930957,1,1,12,12,1,1,14.3477,14.3477
104,30.35181,8,1,3.278031,1,1,12,12,1,1,12.35181,12.35181
104,30.35181,8,2,1.311918,1,1,12,12,1,1,12.35181,12.35181
105,44.70636,12,1,1.964987,1,1,15,18,1,1,23.70636,20.70636
105,44.70636,12,2,2.179816,1,1,18,15,1,1,20.70636,23.70636
106,31.80835,8,1,2.45705,1,1,18,12,0,0,7.80835,13.80835
106,31.80835,8,2,2.733304,1,1,12,18,0,0,13.80835,7.80835
108,19.22244,12,1,4.178818,0,0,12,12,0,0,1.22244,1.22244
108,19.22244,12,2,2.069071,0,0,12,12,0,0,1.22244,1.22244
109,40.50102,12,1,2.528794,1,0,16,16,0,0,18.50102,18.50102
109,40.50102,12,2,2.26643,0,1,16,16,0,0,18.50102,18.50102
110,61.95755,12,1,2.138597,1,1,13,13,1,1,42.95755,42.95755
110,61.95755,12,2,1.638134,1,1,13,13,1,1,42.95755,42.95755
111,26.6694,12.5,1,1.668593,0,0,15,16,1,1,5.6694,4.6694
111,26.6694,12.5,2,2.467101,0,0,16,15,1,1,4.6694,5.6694
114,44.84872,13.5,1,2.912747,1,1,13,13,0,0,25.84872,25.84872
114,44.84872,13.5,2,2.911593,1,1,13,13,0,0,25.84872,25.84872
115,29.18549,12,1,2.36174,1,0,12,12,0,0,11.18549,11.18549
115,29.18549,12,2,2.376629,0,1,12,12,0,0,11.18549,11.18549
120,41.08418,15,1,2.405757,0,0,14,13,1,1,21.08418,22.08418
120,41.08418,15,2,2.544062,0,0,13,14,1,1,22.08418,21.08418
122,30.45036,18,1,2.36174,0,1,15,14,1,1,9.45036,10.45036
122,30.45036,18,2,2.584884,1,0,14,15,1,1,10.45036,9.45036
123,51.8412,5.5,1,2.074058,1,0,12,16,1,1,33.8412,29.8412
123,51.8412,5.5,2,2.767205,0,1,16,12,1,1,29.8412,33.8412
124,20.42984,14,1,2.005065,0,0,14,14,1,1,0.42984,0.42984
124,20.42984,14,2,1.506074,0,0,14,14,1,1,0.42984,0.42984
126,32.35866,7,1,2.328183,1,1,12,16,1,1,14.35866,10.35866
126,32.35866,7,2,2.228209,1,1,16,12,1,1,10.35866,14.35866
127,50.1492,8,1,1.993571,0,1,12,12,1,1,32.1492,32.1492
127,50.1492,8,2,2.074058,1,0,12,12,1,1,32.1492,32.1492
128,42.54893,8.5,1,3.460352,1,0,18,16,0,0,18.54893,20.54893
128,42.54893,8.5,2,2.479523,0,1,16,18,0,0,20.54893,18.54893
129,27.74811,12,1,1.956275,1,1,12,12,0,0,9.74811,9.74811
129,27.74811,12,2,2.221978,1,1,12,12,0,0,9.74811,9.74811
132,24.62422,13,1,2.2956,1,0,16,15,0,0,2.62422,3.62422
132,24.62422,13,2,1.668593,0,1,15,16,0,0,3.62422,2.62422
133,57.68651,11,1,2.467101,1,1,13,12,0,0,38.68651,39.68651
133,57.68651,11,2,2.074058,1,1,12,13,0,0,39.68651,38.68651
134,42.8501,7.5,1,2.698212,0,0,16,16,0,0,20.8501,20.8501
134,42.8501,7.5,2,2.949527,0,0,16,16,0,0,20.8501,20.8501
136,37.28404,12,1,1.668593,1,1,12,12,1,1,19.28404,19.28404
136,37.28404,12,2,2.138597,1,1,12,12,1,1,19.28404,19.28404
137,45.39355,18,1,4.664325,0,0,14,14,0,0,25.39355,25.39355
137,45.39355,18,2,3.683496,0,0,14,14,0,0,25.39355,25.39355
138,32.84325,7.5,1,2.223627,0,0,14,16,1,1,12.84325,10.84325
138,32.84325,7.5,2,2.17179,0,0,16,14,1,1,10.84325,12.84325
141,37.02396,7,1,2.41053,0,0,13,12,0,0,18.02396,19.02396
141,37.02396,7,2,2.41053,0,0,12,13,0,0,19.02396,18.02396
142,37.83983,13,1,1.668593,0,0,14,14,0,0,17.83983,17.83983
142,37.83983,13,2,1.668593,0,0,14,14,0,0,17.83983,17.83983
143,31.06639,18,1,1.995496,0,0,16,16,0,0,9.06639,9.06639
143,31.06639,18,2,1.948243,0,0,16,16,0,0,9.06639,9.06639
144,30.1492,16,1,1.850915,0,0,15,12,0,0,9.1492,12.1492
144,30.1492,16,2,1.968698,0,0,12,15,0,0,12.1492,9.1492
146,37.85078,16.5,1,2.949527,1,1,15,13,0,0,16.85078,18.85078
146,37.85078,16.5,2,2.831744,1,1,13,15,0,0,18.85078,16.85078
147,21.74127,16,1,1.668593,0,0,13,14,1,1,2.74127,1.74127
147,21.74127,16,2,1.668593,0,0,14,13,1,1,1.74127,2.74127
148,42.77071,16,1,3.103678,0,0,14,16,0,0,22.77071,20.77071
148,42.77071,16,2,3.150198,0,0,16,14,0,0,20.77071,22.77071
149,33.03764,14,1,2.949527,0,0,15,15,0,0,12.03764,12.03764
149,33.03764,14,2,2.831744,0,0,15,15,0,0,12.03764,12.03764
150,27.41957,12,1,1.880473,1,1,13,12,1,1,8.41957,9.41957
150,27.41957,12,2,2.36174,1,1,12,13,1,1,9.41957,8.41957
153,47.74263,8.5,1,2.20759,1,1,10,10,1,1,31.74263,31.74263
153,47.74263,8.5,2,1.891737,1,1,10,10,1,1,31.74263,31.74263
160,51.33195,12,1,3.397212,1,1,18,18,0,0,27.33195,27.33195
160,51.33195,12,2,3.160248,1,1,18,18,0,0,27.33195,27.33195
165,36.94182,16,1,2.624104,0,1,16,15,0,0,14.94182,15.94182
165,36.94182,16,2,2.806426,1,0,15,16,0,0,15.94182,14.94182
166,33.40726,12,1,2.45523,0,0,13,14,0,0,14.40726,13.40726
166,33.40726,12,2,2.29239,0,0,14,13,0,0,13.40726,14.40726
167,34.86653,18,1,2.041268,1,0,14,14,0,0,14.86653,14.86653
167,34.86653,18,2,2.283779,0,1,14,14,0,0,14.86653,14.86653
168,31.03079,12,1,2.584884,0,1,12,12,1,1,13.03079,13.03079
168,31.03079,12,2,1.891737,1,0,12,12,1,1,13.03079,13.03079
170,43.01984,12,1,1.859213,1,1,12,15,1,1,25.01984,22.01984
170,43.01984,12,2,2.583282,1,1,15,12,1,1,22.01984,25.01984
172,35.13483,9,1,2.624104,1,1,12,12,1,1,17.13483,17.13483
172,35.13483,9,2,1.545295,1,1,12,12,1,1,17.13483,17.13483
174,24.83777,11.5,1,2.179419,0,0,12,12,0,0,6.83777,6.83777
174,24.83777,11.5,2,1.506074,0,0,12,12,0,0,6.83777,6.83777
175,28.53114,12,1,2.005065,0,1,12,14,1,1,10.53114,8.53114
175,28.53114,12,2,2.138597,1,0,14,12,1,1,8.53114,10.53114
177,27.27721,12,1,2.270721,1,0,14,12,1,1,7.27721,9.27721
177,27.27721,12,2,1.891737,0,1,12,14,1,1,9.27721,7.27721
178,43.4223,16,1,3.317252,0,1,18,16,1,1,19.4223,21.4223
178,43.4223,16,2,3.216335,1,0,16,18,1,1,21.4223,19.4223
179,31.76727,18,1,4.1535,1,1,18,16,0,0,7.76727,9.76727
179,31.76727,18,2,2.872566,1,1,16,18,0,0,9.76727,7.76727
181,32.44626,12,1,2.426591,0,0,15,18,0,0,11.44626,8.44626
181,32.44626,12,2,2.005065,0,0,18,15,0,0,8.44626,11.44626
182,22.47227,16,1,1.668593,0,0,16,15,1,1,0.47227,1.47227
182,22.47227,16,2,2.074058,0,0,15,16,1,1,1.47227,0.47227
183,40.35866,5,1,2.584884,1,1,14,12,1,1,20.35866,22.35866
183,40.35866,5,2,2.074058,1,1,12,14,1,1,22.35866,20.35866
184,43.30458,12,1,2.199221,0,0,16,18,1,1,21.30458,19.30458
184,43.30458,12,2,3.565713,0,0,18,16,1,1,19.30458,21.30458
185,50.54893,12,1,2.229351,1,1,12,12,1,1,32.54893,32.54893
185,50.54893,12,2,1.763903,1,1,12,12,1,1,32.54893,32.54893
186,44.21902,10,1,2.005065,0,1,12,13,1,1,26.21902,25.21902
186,44.21902,10,2,2.467101,1,0,13,12,1,1,25.21902,26.21902
187,27.23065,12,1,3.237209,0,0,16,12,0,0,5.23065,9.23065
187,27.23065,12,2,2.535693,0,0,12,16,0,0,9.23065,5.23065
188,36.36414,12,1,1.976078,0,0,12,12,0,0,18.36414,18.36414
188,36.36414,12,2,2.523008,0,0,12,12,0,0,18.36414,18.36414
189,36.48186,12,1,1.668593,1,1,12,12,1,1,18.48186,18.48186
189,36.48186,12,2,2.36174,1,1,12,12,1,1,18.48186,18.48186
190,25.17728,16,1,2.322521,0,0,16,16,0,0,3.17728,3.17728
190,25.17728,16,2,2.074058,0,0,16,16,0,0,3.17728,3.17728
192,64.13963,14,1,2.767205,1,1,18,16,0,0,40.13963,42.13963
192,64.13963,14,2,2.949527,1,1,16,18,0,0,42.13963,40.13963
195,28.15332,12,1,2.36174,0,1,15,15,1,1,7.15332,7.15332
195,28.15332,12,2,2.228209,1,0,15,15,1,1,7.15332,7.15332
196,50.05064,10,1,2.506922,1,1,12,12,1,1,32.05064,32.05064
196,50.05064,10,2,1.987047,1,1,12,12,1,1,32.05064,32.05064
197,25.94113,9,1,2.809055,0,0,12,12,1,1,7.94113,7.94113
197,25.94113,9,2,2.858177,0,0,12,12,1,1,7.94113,7.94113
199,41.97398,6.5,1,3.278031,1,1,12,12,0,0,23.97398,23.97398
199,41.97398,6.5,2,3.278031,1,1,12,12,0,0,23.97398,23.97398
201,26.92676,12,1,2.649422,0,1,16,14,0,0,4.92676,6.92676
201,26.92676,12,2,2.36174,1,0,14,16,0,0,6.92676,4.92676
206,40.87337,7,1,3.054887,1,0,12,12,0,0,22.87337,22.87337
206,40.87337,7,2,3.054887,0,1,12,12,0,0,22.87337,22.87337
211,48.24915,8,1,1.563233,1,1,12,12,1,1,30.24915,30.24915
211,48.24915,8,2,1.547294,1,1,12,12,1,1,30.24915,30.24915
212,37.28131,12,1,2.400961,1,0,13,12,1,1,18.28131,19.28131
212,37.28131,12,2,1.668593,0,1,12,13,1,1,19.28131,18.28131
216,29.05406,12,1,2.733304,0,0,13,13,0,0,10.05406,10.05406
216,29.05406,12,2,2.41053,0,0,13,13,0,0,10.05406,10.05406
218,30.22586,12,1,1.754771,0,1,12,16,1,1,12.22586,8.22586
218,30.22586,12,2,2.649422,1,0,16,12,1,1,8.22586,12.22586
221,37.37439,18,1,2.949527,1,1,13,12,0,0,18.37439,19.37439
221,37.37439,18,2,2.333569,1,1,12,13,0,0,19.37439,18.37439
222,21.92744,12,1,1.956275,0,0,12,13,1,1,3.92744,2.92744
222,21.92744,12,2,1.668593,0,0,13,12,1,1,2.92744,3.92744
223,23.96988,12,1,2.074058,0,0,16,16,1,1,1.96988,1.96988
223,23.96988,12,2,2.41783,0,0,16,16,1,1,1.96988,1.96988
224,36.37234,16,1,2.106848,0,0,18,18,0,0,12.37234,12.37234
224,36.37234,16,2,2.391299,0,0,18,18,0,0,12.37234,12.37234
232,36.94455,16,1,2.744278,0,1,16,16,1,1,14.94455,14.94455
232,36.94455,16,2,2.767205,1,0,16,16,1,1,14.94455,14.94455
234,43.20055,8,1,1.961263,0,1,10,14,1,1,27.20055,23.20055
234,43.20055,8,2,2.479523,1,0,14,10,1,1,23.20055,27.20055
235,18.78165,17,1,1.506074,0,0,13,13,1,1,-0.21835,-0.21835
235,18.78165,17,2,1.506074,0,0,13,13,1,1,-0.21835,-0.21835
236,36.62149,13.5,1,2.36174,0,0,12,14,1,1,18.62149,16.62149
236,36.62149,13.5,2,2.671895,0,0,14,12,1,1,16.62149,18.62149
237,45.61259,12,1,3.164766,1,0,14,12,1,1,25.61259,27.61259
237,45.61259,12,2,2.792516,0,1,12,14,1,1,27.61259,25.61259
238,29.39082,12,1,1.604452,1,0,12,12,1,1,11.39082,11.39082
238,29.39082,12,2,1.487999,0,1,12,12,1,1,11.39082,11.39082
239,38.77071,13.5,1,3.197991,0,1,14,13,1,1,18.77071,19.77071
239,38.77071,13.5,2,3.110975,1,0,13,14,1,1,19.77071,18.77071
240,45.5551,12,1,3.08475,0,1,12,12,1,1,27.5551,27.5551
240,45.5551,12,2,2.974845,1,0,12,12,1,1,27.5551,27.5551
243,40.3121,8,1,1.763903,1,1,14,12,1,1,20.3121,22.3121
243,40.3121,8,2,0.9135702,1,1,12,14,1,1,22.3121,20.3121
245,28.41341,14,1,2.074058,0,0,14,16,1,1,8.41341,6.41341
245,28.41341,14,2,2.803573,0,0,16,14,1,1,6.41341,8.41341
246,28.41341,12.5,1,2.25638,0,0,16,16,1,1,6.41341,6.41341
246,28.41341,12.5,2,2.757155,0,0,16,16,1,1,6.41341,6.41341
247,22,12.5,1,2.010498,1,1,14,12,1,1,2,4
247,22,12.5,2,2.022835,1,1,12,14,1,1,4,2
249,35,12.75,1,2.030977,1,1,16,12.5,1,1,13,16.5
249,35,12.75,2,2.332082,1,1,12.5,16,1,1,16.5,13
257,40,12,1,2.506035,0,0,12,12,1,1,22,22
257,40,12,2,2.332082,0,0,12,12,1,1,22,22
259,29,14,1,2.14976,0,0,13,13,0,0,10,10
259,29,14,2,2.108938,0,0,13,13,0,0,10,10
260,24,18,1,1.456613,0,0,18,16,1,1,0,2
260,24,18,2,1.975407,0,0,16,18,1,1,2,0
261,37,13.5,1,1.638934,0,0,14,16,0,0,17,15
261,37,13.5,2,2.9119,0,0,16,14,0,0,15,17
263,48,8,1,2.108938,1,1,12,13,1,1,30,29
263,48,8,2,1.638934,1,1,13,12,1,1,29,30
266,55,12,1,3.02957,1,1,15,12,1,1,34,37
266,55,12,2,2.449865,1,1,12,15,1,1,37,34
268,54,12.5,1,2.877309,0,0,12,12,0,0,36,36
268,54,12.5,2,2.535022,0,0,12,12,0,0,36,36
272,55,4.5,1,2.19855,0,1,12,12,0,0,37,37
272,55,4.5,2,2.695335,1,0,12,12,0,0,37,37
273,30,16,1,3.653837,0,1,14,14,0,0,10,10
273,30,16,2,2.737547,1,0,14,14,0,0,10,10
274,55,12,1,1.862078,0,1,12,12.5,1,1,37,36.5
274,55,12,2,1.476416,1,0,12.5,12,1,1,36.5,37
275,53,8,1,2.605918,1,0,12,12,1,1,35,35
275,53,8,2,1.715895,0,1,12,12,1,1,35,35
277,39,12,1,2.449865,0,0,13,12,0,0,20,21
277,39,12,2,3.430694,0,0,12,13,0,0,21,20
284,50,12.5,1,2.332082,1,1,16,18,1,1,28,26
284,50,12.5,2,3.430694,1,1,18,16,1,1,26,28
286,36,11,1,2.45705,1,1,14,14,0,0,16,16
286,36,11,2,2.427392,1,1,14,14,0,0,16,16
287,20,12,1,1.585534,0,0,14,14,1,1,0,0
287,20,12,2,1.476416,0,0,14,14,1,1,0,0
288,31,16,1,1.499672,1,1,12,12,1,1,13,13
288,31,16,2,1.499672,1,1,12,12,1,1,13,13
289,48,13,1,4.452345,0,0,17,16,0,0,25,26
289,48,13,2,3.731799,0,0,16,17,0,0,26,25
292,27,16,1,2.737547,1,0,16,16,0,0,5,5
292,27,16,2,2.802085,0,1,16,16,0,0,5,5
296,50,6,1,2.169563,0,1,12,12,1,1,32,32
296,50,6,2,2.044399,1,0,12,12,1,1,32,32
298,39,12,1,2.956236,0,0,16,16,1,1,17,17
298,39,12,2,3.025229,0,0,16,16,1,1,17,17
300,33,11,1,2.737547,1,1,12,12,0,0,15,15
300,33,11,2,2.532752,1,1,12,12,0,0,15,15
302,44,8,1,0.7226437,1,0,12,12,1,1,26,26
302,44,8,2,2.245434,0,1,12,12,1,1,26,26
303,33,12,1,2.401074,0,0,16,16,1,1,11,11
303,33,12,2,3.074019,0,0,16,16,1,1,11,11
308,27,12,1,1.837785,0,0,16,16,1,1,5,5
308,27,12,2,2.299558,0,0,16,16,1,1,5,5
315,21,14,1,1.862078,0,0,13,17,1,1,2,-2
315,21,14,2,0.9850078,0,0,17,13,1,1,-2,2
316,66,16,1,1.975407,1,1,16,18,1,1,44,42
316,66,16,2,2.19855,1,1,18,16,1,1,42,44
317,34,18,1,2.919868,0,0,16,16,0,0,12,12
317,34,18,2,3.248372,0,0,16,16,0,0,12,12
320,57,10,1,1.725112,1,1,10,12,1,1,41,39
320,57,10,2,2.203111,1,1,12,10,1,1,39,41
321,43,12,1,1.968238,1,1,12,15,1,1,25,22
321,43,12,2,2.344998,1,1,15,12,1,1,22,25
324,51,11,1,1.687725,1,0,12,13,1,1,33,32
324,51,11,2,1.754481,0,1,13,12,1,1,32,33
325,45,12.5,1,2.891697,1,0,16,16,1,1,23,23
325,45,12.5,2,3.179379,0,1,16,16,1,1,23,23
326,52,16,1,1.638934,1,1,13,13,1,1,33,33
326,52,16,2,1.761152,1,1,13,13,1,1,33,33
328,43,7.5,1,2.668554,0,0,16,16,0,0,21,21
328,43,7.5,2,2.891697,0,0,16,16,0,0,21,21
332,57,12,1,3.209146,1,1,18,18,0,0,33,33
332,57,12,2,3.536054,1,1,18,18,0,0,33,33
335,18,12,1,1.946419,0,0,12,12,0,0,0,0
335,18,12,2,0.7856185,0,0,12,12,0,0,0,0
338,28,10,1,3.025229,1,1,18,18,1,1,4,4
338,28,10,2,2.737547,1,1,18,18,1,1,4,4
339,48,12,1,2.573244,1,1,12,12,1,1,30,30
339,48,12,2,1.638934,1,1,12,12,1,1,30,30
340,45,10,1,2.19855,1,1,13,12,1,1,26,27
340,45,10,2,2.555225,1,1,12,13,1,1,27,26
343,31,12,1,2.865646,1,1,12,12,0,0,13,13
343,31,12,2,2.594446,1,1,12,12,0,0,13,13
347,25,11.5,1,1.778696,0,0,13,13,1,1,6,6
347,25,11.5,2,1.854046,0,0,13,13,1,1,6,6
351,46,10.5,1,2.820661,1,1,12,12,0,0,28,28
351,46,10.5,2,2.86271,1,1,12,12,0,0,28,28
353,25,16,1,1.821256,0,0,16,16,0,0,3,3
353,25,16,2,2.737547,0,0,16,16,0,0,3,3
354,22,12,1,1.877951,0,0,14,14,1,1,2,2
354,22,12,2,1.598112,0,0,14,14,1,1,2,2
355,46,6.5,1,2.226721,0,0,15,14,0,0,25,26
355,46,6.5,2,2.226721,0,0,14,15,0,0,26,25
